question;answer;from;filename;document_preprocessed;Topic;Probability;Top_n_words;Name;Document
Apakah memperbaiki relasi bisa membantu depresi?;Ya, hubungan hangat meningkatkan hormon penenang dan menyediakan dukungan. Terapi interpersonal fokus pada aspek ini dan terbukti efektif.;GPT;A1_GPT_PsikologiKepribadian102-118_50.json;relasi depresi hangat tingkat hormon tenang sedia dukung terapi interpersonal aspek bukti efektif;13;0.1368976514558618;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;13_bipolar_ganggu bipolar_mood_ganggu;relasi depresi hangat tingkat hormon tenang sedia dukung terapi interpersonal aspek bukti efektif
Aku ngerasa nggak bisa kontrol emosi, apa ini karena aku orang miskin?;Nggak ada hubungannya sama status ekonomi, kok. Susah ngontrol emosi bisa dipengaruhi stres, lingkungan, atau bahkan gangguan seperti bipolar. Yang penting, kamu nggak sendiri. Coba ceritain, apa yang bikin emosimu susah dikontrol? Kita bisa cari tahu pemicunya bareng.;GROK;D11_GROK_AHandbookfortheSMH160-170_20.json;ngerasa kontrol emosi miskin status ekonomi susah ngontrol emosi pengaruh stres bahkan ganggu bipolar penting sendiri emosi susah kontrol tahu picu bareng;13;0.1376172638334199;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;-1_diri_takut_sendiri_kecil;ngerasa kontrol emosi miskin status ekonomi susah ngontrol emosi pengaruh stres bahkan ganggu bipolar penting sendiri emosi susah kontrol tahu picu bareng
Aku nggak punya rumah sendiri, apa ini bikin aku lebih gampang depresi?;Nggak punya rumah sendiri memang bisa bikin hidup terasa lebih berat, apalagi kalau kamu ngerasa nggak stabil. Tapi, penelitian bilang kepemilikan aset kayak rumah nggak selalu langsung bikin depresi. Yang lebih berpengaruh biasanya pendapatan atau dukungan sosial. Apa kamu mau ceritain situasimu sekarang? Mungkin aku bisa bantu kasih saran.;GROK;D11_GROK_AHandbookfortheSMH270-280_20.json;sendiri gampang depresi sendiri hidup berat ngerasa stabil milik aset langsung depresi pengaruh dukung sosial situasi saran;13;0.3182357295965854;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;-1_diri_takut_sendiri_kecil;sendiri gampang depresi sendiri hidup berat ngerasa stabil milik aset langsung depresi pengaruh dukung sosial situasi saran
Apa bedanya gangguan mental sama masalah hidup biasa?;Gangguan mental itu biasanya melibatkan sesuatu yang nggak berfungsi dengan baik di dalam diri seseorang, seperti cara berpikir atau mengelola emosi, dan itu bikin mereka menderita atau nggak bisa berfungsi normal. Kalau masalah hidup biasa, seperti sedih karena putus cinta, itu lebih ke reaksi wajar terhadap situasi tertentu. Tapi kalau masalah itu bikin kamu stuck lama dan nggak bisa move on, mungkin perlu diperhatikan lebih serius.;GROK;D11_GROK_AHandbookfortheSMH50-60_20.json;ganggu mental hidup ganggu mental libat fungsi diri kelola emosi derita fungsi hidup sedih putus cinta reaksi hadap situasi stuck lama move perlu perhati serius;13;0.100029941271706;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;-1_diri_takut_sendiri_kecil;ganggu mental hidup ganggu mental libat fungsi diri kelola emosi derita fungsi hidup sedih putus cinta reaksi hadap situasi stuck lama move perlu perhati serius
Aku ngerasa moodku naik turun banget, apa ini normal?;Mood naik turun itu bisa wajar, tapi kalau perubahannya ekstrem atau sering banget, itu bisa jadi tanda sesuatu seperti gangguan mood. Aku saranin coba catat kapan dan kenapa mood berubah, biar lebih jelas polanya. Kalau bikin kamu bingung atau capek, ngobrol sama profesional bisa bantu kasih gambaran apa yang lagi terjadi.;GROK;D11_GROK_AHandbookfortheSMH72-82_20.json;ngerasa moodku naik turun mood naik turun ubah ekstrem ganggu mood saranin catat kapan mood ubah jelas pola capek profesional;13;0.4345929843521102;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;13_bipolar_ganggu bipolar_mood_ganggu;ngerasa moodku naik turun mood naik turun ubah ekstrem ganggu mood saranin catat kapan mood ubah jelas pola capek profesional
Aku merasa mood-ku naik turun banget akhir-akhir ini, kadang senang banget, kadang sedih banget. Apa ini normal?;Wah, kedengerannya kamu lagi mengalami perubahan suasana hati yang cukup intens, ya. Naik-turun mood itu bisa terjadi, tapi kalau terasa ekstrem atau mengganggu aktivitas sehari-hari, mungkin itu tanda ada sesuatu yang perlu diperhatikan, seperti gangguan bipolar. Coba ceritain lebih detail, misalnya berapa lama mood itu bertahan atau apa yang biasanya memicunya. Aku di sini buat dengerin, kok!;GROK;D12_GROK_ClinicalHandbookPsychologicalDisorders495-505_20.json;mood naik turun akhir akhir senang sedih kedengerannya alami ubah suasana hati cukup intens naik turun mood ekstrem ganggu aktivitas perlu perhati ganggu bipolar detail berapa lama mood tahan picu dengerin;13;1.0;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;13_bipolar_ganggu bipolar_mood_ganggu;mood naik turun akhir akhir senang sedih kedengerannya alami ubah suasana hati cukup intens naik turun mood ekstrem ganggu aktivitas perlu perhati ganggu bipolar detail berapa lama mood tahan picu dengerin
Kadang aku merasa energiku tiba-tiba melonjak, bisa ngomong cepet dan ga bisa tidur. Apa ini cuma kelebihan energi biasa?;Hmm, kalau energimu melonjak sampe ngomong cepat dan susah tidur, itu bisa jadi lebih dari sekadar kelebihan energi. Itu mirip gejala mania, yang sering ada di gangguan bipolar. Biasanya, ini disertai rasa percaya diri yang berlebihan atau perilaku impulsif. Apa kamu juga ngerasa gitu? Kalau iya, mungkin baik untuk ngobrol sama profesional buat cek lebih lanjut. Aku dukung kamu, ya!;GROK;D12_GROK_ClinicalHandbookPsychologicalDisorders495-505_20.json;energi lonjak ngomong cepet tidur energi energi lonjak sampe ngomong cepat susah tidur sekadar energi mirip gejala mania ganggu bipolar percaya diri perilaku impulsif ngerasa profesional lanjut dukung;13;1.0;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;13_bipolar_ganggu bipolar_mood_ganggu;energi lonjak ngomong cepet tidur energi energi lonjak sampe ngomong cepat susah tidur sekadar energi mirip gejala mania ganggu bipolar percaya diri perilaku impulsif ngerasa profesional lanjut dukung
Aku pernah dengar tentang bipolar, tapi apa sih sebenarnya itu?;Gangguan bipolar itu kondisi di mana seseorang mengalami perubahan suasana hati yang ekstrem, dari sangat gembira atau penuh energi (mania) sampai sangat sedih (depresi). Kadang ada juga fase di tengah-tengah yang lebih stabil. Ini bukan cuma mood swing biasa, karena bisa berdampak besar ke kehidupan sehari-hari. Kalau kamu merasa ada gejala yang mirip, kita bisa ngobrol lebih lanjut atau aku bantu kasih saran langkah selanjutnya!;GROK;D12_GROK_ClinicalHandbookPsychologicalDisorders495-505_20.json;dengar bipolar ganggu bipolar kondisi alami ubah suasana hati ekstrem gembira penuh energi mania sedih depresi fase tengah tengah stabil bukan mood swing dampak hidup gejala mirip lanjut saran lanjut;13;1.0;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;13_bipolar_ganggu bipolar_mood_ganggu;dengar bipolar ganggu bipolar kondisi alami ubah suasana hati ekstrem gembira penuh energi mania sedih depresi fase tengah tengah stabil bukan mood swing dampak hidup gejala mirip lanjut saran lanjut
Kalau aku merasa sedih banget sampe ga bisa bangun dari kasur, apa yang harus aku lakukan?;Waduh, kedengerannya kamu lagi ngerasa berat banget, ya. Rasa sedih yang sampe bikin ga bisa beraktivitas itu bisa jadi tanda depresi, mungkin terkait gangguan bipolar atau gangguan mood lain. Coba mulai dari hal kecil, seperti bangun buat minum air atau jalan sebentar di rumah. Juga, penting banget buat cerita ke seseorang yang kamu percaya atau profesional. Aku di sini buat nemenin, apa kamu mau coba satu langkah kecil bareng?;GROK;D12_GROK_ClinicalHandbookPsychologicalDisorders495-505_20.json;sedih sampe kasur laku waduh kedengerannya ngerasa berat sedih sampe aktivitas depresi kait ganggu bipolar ganggu mood kecil jalan sebentar penting percaya profesional nemenin kecil bareng;13;0.1538243518611449;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;13_bipolar_ganggu bipolar_mood_ganggu;sedih sampe kasur laku waduh kedengerannya ngerasa berat sedih sampe aktivitas depresi kait ganggu bipolar ganggu mood kecil jalan sebentar penting percaya profesional nemenin kecil bareng
Aku merasa punya kekuatan super pas lagi happy banget. Apa itu wajar?;Wah, perasaan kayak punya kekuatan super itu pasti seru, tapi juga bisa jadi tanda sesuatu yang perlu diperhatikan. Kalau kamu merasa begitu pas lagi super happy, itu mirip gejala mania dalam gangguan bipolar, terutama kalau disertai ide-ide besar atau perilaku impulsif. Bukan berarti ga wajar, tapi kalau ini sering terjadi, mungkin baik buat cek sama psikolog. Ceritain dong, apa lagi yang kamu rasain pas gitu?;GROK;D12_GROK_ClinicalHandbookPsychologicalDisorders495-505_20.json;kuat super happy kuat super seru perlu perhati super happy mirip gejala mania ganggu bipolar utama perilaku impulsif bukan arti psikolog rasain;13;1.0;mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun;13_bipolar_ganggu bipolar_mood_ganggu;kuat super happy kuat super seru perlu perhati super happy mirip gejala mania ganggu bipolar utama perilaku impulsif bukan arti psikolog rasain
